rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Washington Premier ECNL GU15,Washington Premier FC,18776,12,8,0,4,28,2.33,27,9,18
2,Crossfire United ECNL GU15,Oregon Surf SC,18342,12,8,1,3,27,2.25,36,9,27
3,Portland Thorns Academy ECNL GU15,Portland Thorns FC,45861,12,8,2,2,26,2.17,28,10,18
4,Crossfire Premier ECNL GU15,Crossfire Premier,13932,12,6,4,2,20,1.67,24,11,13
5,Eastside FC ECNL GU15,Eastside FC (WA),10513,12,6,5,1,19,1.58,17,14,3
6,Pacific Northwest SC ECNL GU15,PacNW,19484,12,5,6,1,16,1.33,17,21,-4
7,Seattle United ECNL GU15,Seattle United,19791,12,2,9,1,7,0.58,17,33,-16
8,FC Portland ECNL GU15,FC Portland Academy,20247,12,2,10,0,6,0.5,6,38,-32
9,Boise Thorns FC ECNL GU15,Boise Timbers | Thorns,20416,8,0,8,0,0,0.0,5,32,-27
