date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-05-16,02:00 PM,Bracket,FC Portland ECNL GU18/U19,0,11,Pacific Northwest SC ECNL GU18/U19,Liberty High School,Clive Charles Field,On Time,208325
2021-05-22,09:00 AM,Bracket,Crossfire United ECNL GU18/U19,3,0,Eastside FC ECNL GU18/U19,PCC Rock Creek,Field 2,On Time,208329
2021-05-22,10:00 AM,Bracket,Crossfire Premier ECNL GU18/U19,3,0,Washington Premier ECNL GU18/U19,Grass Lawn Park,Field 2,On Time,208296
2021-05-23,11:30 AM,Bracket,FC Portland ECNL GU18/U19,1,3,Eastside FC ECNL GU18/U19,Liberty High School,Stadium Field,On Time,208327
2021-05-26,08:00 PM,Group Play,FC Portland ECNL GU18/U19,0,5,Crossfire United ECNL GU18/U19,Liberty High School,Clive Charles Field,On Time,233529
2021-05-27,05:00 PM,Bracket,Crossfire Premier ECNL GU18/U19,3,0,Eastside FC ECNL GU18/U19,Marymoor Park,#2 (Turf),On Time,208300
2021-06-05,TBD,Bracket,Boise Thorns FC ECNL GU18/U19,,,Washington Premier ECNL GU18/U19,,,On Time,208311
2021-06-05,01:15 PM,Bracket,Portland Thorns Academy ECNL GU18/U19,,,Pacific Northwest SC ECNL GU18/U19,Tualatin Hills Recreation Center (THPRD),Field 2,On Time,208312
2021-06-06,TBD,Bracket,Boise Thorns FC ECNL GU18/U19,,,Pacific Northwest SC ECNL GU18/U19,,,On Time,208314
2021-06-06,01:30 PM,Bracket,Portland Thorns Academy ECNL GU18/U19,0,3,Washington Premier ECNL GU18/U19,Tualatin Hills Recreation Center (THPRD),Field 1 ,On Time,208313
