rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,San Juan SC ECNL GU13,No Club Selection,39174,7,7,0,0,21,3.0,41,2,39,GU13,Bay Area
2,MVLA ECNL GU13,MVLA,30872,7,4,1,2,14,2.0,23,4,19,GU13,Bay Area
3,Mustang SC ECNL GU13,Mustang Soccer,4653,7,4,1,2,14,2.0,21,8,13,GU13,Bay Area
4,DeAnza Force ECNL GU13,Force,45841,7,3,1,3,12,1.71,15,7,8,GU13,Bay Area
5,Davis Legacy ECNL GU13,No Club Selection,39186,7,3,4,0,9,1.29,14,12,2,GU13,Bay Area
6,Pleasanton Rage ECNL GU13,Pleasanton Rage,39255,7,2,4,1,7,1.0,9,20,-11,GU13,Bay Area
7,Santa Rosa United ECNL GU13,Santa Rosa United Soccer,39258,7,1,6,0,3,0.43,8,32,-24,GU13,Bay Area
8,Marin FC ECNL GU13,Marin FC,39517,7,0,7,0,0,0.0,0,46,-46,GU13,Bay Area
1,Real Colorado National ECNL GU13,Real Colorado,45853,10,8,0,2,26,2.6,24,2,22,GU13,Mountain
2,Colorado Rapids ECNL GU13,Colorado Storm,46752,10,7,1,2,23,2.3,26,8,18,GU13,Mountain
3,Pride SC ECNL GU13,Pride SC,48226,10,3,5,2,11,1.1,14,18,-4,GU13,Mountain
4,Real Colorado Athletico ECNL GU13,Real Colorado,46443,10,2,6,2,8,0.8,4,17,-13,GU13,Mountain
5,La Roca FC ECNL GU13,La Roca FC,45847,10,2,6,2,8,0.8,15,23,-8,GU13,Mountain
1,Crossfire Premier ECNL GU13,No Club Selection,21818,12,12,0,0,36,3.0,59,3,56,GU13,Pacific
2,Washington Premier ECNL GU13,Washington Premier FC,39098,12,9,2,1,28,2.33,39,7,32,GU13,Pacific
3,Eastside FC ECNL GU13,Eastside FC (WA),46753,12,6,4,2,20,1.67,21,16,5,GU13,Pacific
4,Portland Thorns Academy ECNL GU13,Portland Thorns FC,45859,12,5,4,3,18,1.5,21,17,4,GU13,Pacific
5,Crossfire United ECNL GU13,Oregon Surf SC,32701,11,3,5,3,12,1.09,20,28,-8,GU13,Pacific
6,Seattle United ECNL GU13,Seattle United,39162,12,4,7,1,13,1.08,17,27,-10,GU13,Pacific
7,Pacific Northwest SC ECNL GU13,PacNW,46755,12,2,10,0,6,0.5,5,43,-38,GU13,Pacific
8,FC Portland ECNL GU13,FC Portland Academy,46758,1,0,1,0,0,0.0,0,1,-1,GU13,Pacific
1,San Juan SC ECNL GU14,San Juan Soccer Club,35173,7,7,0,0,21,3.0,32,0,32,GU14,Bay Area
2,MVLA ECNL GU14,MVLA,35169,7,6,1,0,18,2.57,38,2,36,GU14,Bay Area
3,Mustang SC ECNL GU14,Mustang Soccer,18803,7,4,3,0,12,1.71,12,13,-1,GU14,Bay Area
4,Pleasanton Rage ECNL GU14,Pleasanton Rage,35170,7,2,3,2,8,1.14,10,14,-4,GU14,Bay Area
5,Santa Rosa United ECNL GU14,Santa Rosa United Soccer,35174,7,2,4,1,7,1.0,11,34,-23,GU14,Bay Area
6,DeAnza Force ECNL GU14,Force,45842,7,2,5,0,6,0.86,10,16,-6,GU14,Bay Area
7,Marin FC ECNL GU14,Marin FC,35162,7,1,4,2,5,0.71,3,16,-13,GU14,Bay Area
8,Davis Legacy ECNL GU14,Davis Legacy Soccer Club,21335,7,1,5,1,4,0.57,5,26,-21,GU14,Bay Area
1,Real Colorado National ECNL GU14,Real Colorado,45854,10,9,1,0,27,2.7,44,7,37,GU14,Mountain
2,Utah Avalanche ECNL GU14,Utah Avalanche,35178,10,8,1,1,25,2.5,25,6,19,GU14,Mountain
3,Real Colorado Athletico ECNL GU14,Real Colorado,46444,10,3,5,2,11,1.1,9,17,-8,GU14,Mountain
4,Colorado Rapids ECNL GU14,Colorado Storm,35218,10,2,6,2,8,0.8,9,22,-13,GU14,Mountain
5,Pride SC ECNL GU14,Pride SC,35220,10,0,9,1,1,0.1,5,39,-34,GU14,Mountain
1,Crossfire Premier  ECNL GU14,No Club Selection,26840,12,12,0,0,36,3.0,43,3,40,GU14,Pacific
2,FC Portland ECNL GU14,FC Portland Academy,35159,12,8,1,3,27,2.25,41,15,26,GU14,Pacific
3,Washington Premier ECNL GU14,Washington Premier FC,35179,12,7,2,3,24,2.0,19,10,9,GU14,Pacific
4,Boise Thorns FC ECNL GU14,Boise Timbers | Thorns,35152,8,4,4,0,12,1.5,24,22,2,GU14,Pacific
5,Seattle United ECNL GU14,Seattle United,35177,12,5,5,2,17,1.42,31,24,7,GU14,Pacific
6,Portland Thorns Academy ECNL GU14,Portland Thorns FC,45860,12,3,7,2,11,0.92,18,31,-13,GU14,Pacific
7,Eastside FC ECNL GU14,Eastside FC (WA),35153,12,1,6,5,8,0.67,17,29,-12,GU14,Pacific
8,Crossfire United ECNL GU14,Oregon Surf SC,32700,12,2,8,2,8,0.67,9,27,-18,GU14,Pacific
9,Pacific Northwest SC ECNL GU14,PacNW,35172,12,0,9,3,3,0.25,7,48,-41,GU14,Pacific
1,MVLA ECNL GU15,MVLA,20426,7,6,1,0,18,2.57,28,8,20,GU15,Bay Area
2,San Juan SC ECNL GU15,San Juan Soccer Club,20430,7,5,2,0,15,2.14,16,7,9,GU15,Bay Area
