rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Real Colorado National ECNL GU16,Real Colorado,45856,10,10,0,0,30,3.0,37,1,36
2,Real Colorado Athletico ECNL GU16,Real Colorado,46446,10,5,2,3,18,1.8,15,10,5
3,La Roca FC ECNL GU16,La Roca FC,45850,10,4,3,3,15,1.5,10,8,2
4,Utah Avalanche ECNL GU16,Utah Avalanche,12594,10,3,5,2,11,1.1,7,17,-10
5,Colorado Rapids ECNL GU16,Colorado Storm,11901,10,3,6,1,10,1.0,12,18,-6
6,Pride SC ECNL GU16,No Club Selection,35222,10,0,9,1,1,0.1,6,33,-27
