rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Mustang SC ECNL GU18/U19,Mustang Soccer,7211,7,5,2,0,15,2.14,17,7,10
2,DeAnza Forece ECNL GU18/U19,Force,45846,7,5,2,0,15,2.14,13,6,7
3,Pleasanton Rage ECNL GU18/U19,Pleasanton Rage,6899,7,4,2,1,13,1.86,11,8,3
4,MVLA ECNL GU18/U19,MVLA,6987,7,4,2,1,13,1.86,17,7,10
5,San Juan SC ECNL GU18/U19,San Juan Soccer Club,6912,6,2,2,2,8,1.33,10,13,-3
6,Marin FC ECNL GU18/U19,Marin FC,35166,6,2,3,1,7,1.17,7,6,1
7,Davis Legacy ECNL GU18/U19,Davis Legacy Soccer Club,10854,6,1,5,0,3,0.5,5,17,-12
8,Santa Rosa United ECNL GU18/U19,Santa Rosa United Soccer,6913,6,0,5,1,1,0.17,1,17,-16
