rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Crossfire United ECNL GU18/U19,Oregon Surf SC,6932,12,10,1,1,31,2.58,47,9,38
2,Crossfire Premier ECNL GU18/U19,Crossfire Premier,6996,12,10,1,1,31,2.58,37,4,33
3,Washington Premier ECNL GU18/U19,Washington Premier FC,7035,11,6,3,2,20,1.82,21,10,11
4,Pacific Northwest SC ECNL GU18/U19,PacNW,19375,10,5,3,2,17,1.7,26,12,14
5,Seattle United ECNL GU18/U19,Seattle United,10594,12,6,5,1,19,1.58,27,12,15
6,Eastside FC ECNL GU18/U19,Eastside FC (WA),10263,12,3,8,1,10,0.83,10,31,-21
7,FC Portland ECNL GU18/U19,FC Portland Academy,6931,12,3,9,0,9,0.75,11,53,-42
8,Boise Thorns FC ECNL GU18/U19,Boise Timbers | Thorns,6892,6,1,5,0,3,0.5,6,16,-10
9,Portland Thorns Academy ECNL GU18/U19,Portland Thorns FC,45864,11,1,10,0,3,0.27,7,45,-38
