rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Crossfire Premier ECNL G07,No Club Selection,26840,13,12,1,0,36,2.77,41,7,34
2,Utah Avalanche ECNL G07,Utah Avalanche,35178,13,10,1,2,32,2.46,30,7,23
3,Seattle United ECNL G07,Seattle United,35177,13,9,3,1,28,2.15,28,9,19
4,La Roca FC ECNL G07,La Roca FC,45849,13,8,3,2,26,2.0,25,14,11
5,Portland Thorns ECNL G07,Portland Thorns FC,45860,13,8,4,1,25,1.92,20,11,9
6,Real Colorado National ECNL G07,Real Colorado,45854,13,8,5,0,24,1.85,41,11,30
7,Eastside FC ECNL G07,Eastside FC (WA),35153,13,7,5,1,22,1.69,19,15,4
8,Colorado Rapids ECNL G07,Colorado Storm,35218,13,4,7,2,14,1.08,17,23,-6
9,Washington Premier ECNL G07,Washington Premier FC,35179,13,4,9,0,12,0.92,22,36,-14
10,Boise Thorns FC ECNL G07,Boise Timbers | Thorns,35152,13,3,8,2,11,0.85,13,22,-9
11,Pride SC ECNL G07,No Club Selection,35221,13,3,9,1,10,0.77,12,27,-15
12,Northwest Elite FC ECNL G07,Oregon Surf SC,66434,13,3,9,1,10,0.77,15,46,-31
13,PacNW SC ECNL G07,PacNW,19484,13,3,10,0,9,0.69,12,36,-24
14,Real Colorado Athletico ECNL G07,Real Colorado,46444,13,2,10,1,7,0.54,8,39,-31
